orbit	id	count
 (((0, 4), (0, 5), (4, 5)), 1), Orbit 1	13	1518
 (((0, 4), (0, 5), (4, 5)), 2), Orbit 2	14	1518
 (((1, 4), (1, 4), (5, 5)), 0), Orbit 0	81	978
 (((0, 2), (0, 7), (3, 7)), 0), Orbit 0	56	876
 (((0, 2), (0, 7), (3, 7)), 1), Orbit 1	57	876
 (((0, 2), (0, 7), (3, 7)), 2), Orbit 2	58	876
 (((0, 6), (0, 7), (6, 7)), 0), Orbit 0	59	859
 (((0, 6), (0, 7), (6, 7)), 1), Orbit 1	60	859
 (((0, 6), (0, 7), (6, 7)), 2), Orbit 2	61	859
 (((4, 4), (4, 5), (5, 5)), 0), Orbit 0	89	833
 (((4, 4), (4, 5), (5, 5)), 1), Orbit 1	90	833
 (((4, 4), (4, 5), (5, 5)), 2), Orbit 2	91	833
 (((4, 6), (4, 6), (5, 5)), 1), Orbit 1	154	765
 (((4, 7), (4, 7), (5, 5)), 0), Orbit 0	104	708
 (((2, 7), (3, 6), (6, 7)), 0), Orbit 0	236	634
 (((2, 7), (3, 6), (6, 7)), 1), Orbit 1	237	634
 (((2, 7), (3, 6), (6, 7)), 2), Orbit 2	238	634
 (((1, 2), (1, 6), (3, 6)), 0), Orbit 0	194	629
 (((1, 2), (1, 6), (3, 6)), 1), Orbit 1	195	629
 (((1, 2), (1, 6), (3, 6)), 2), Orbit 2	196	629
 (((0, 4), (0, 6), (5, 6)), 0), Orbit 0	47	553
 (((0, 4), (0, 6), (5, 6)), 1), Orbit 1	48	553
 (((0, 4), (0, 6), (5, 6)), 2), Orbit 2	49	553
 (((2, 2), (3, 7), (3, 7)), 1), Orbit 1	235	548
 (((2, 4), (3, 6), (5, 6)), 0), Orbit 0	220	502
 (((2, 4), (3, 6), (5, 6)), 1), Orbit 1	221	502
 (((2, 4), (3, 6), (5, 6)), 2), Orbit 2	222	502
 (((1, 4), (1, 4), (5, 5)), 1), Orbit 1	82	489
 (((2, 3), (2, 7), (3, 7)), 0), Orbit 0	231	455
 (((2, 3), (2, 7), (3, 7)), 1), Orbit 1	232	455
 (((2, 3), (2, 7), (3, 7)), 2), Orbit 2	233	455
 (((6, 6), (6, 7), (6, 7)), 1), Orbit 1	243	402
 (((1, 6), (1, 6), (6, 6)), 0), Orbit 0	200	398
 (((1, 5), (1, 7), (4, 7)), 0), Orbit 0	94	361
 (((1, 5), (1, 7), (4, 7)), 1), Orbit 1	95	361
 (((1, 5), (1, 7), (4, 7)), 2), Orbit 2	96	361
 (((1, 1), (1, 7), (1, 7)), 1), Orbit 1	93	356
 (((4, 7), (4, 7), (5, 5)), 1), Orbit 1	105	354
 (((2, 6), (3, 7), (6, 7)), 0), Orbit 0	239	303
 (((2, 6), (3, 7), (6, 7)), 1), Orbit 1	240	303
 (((2, 6), (3, 7), (6, 7)), 2), Orbit 2	241	303
 (((2, 2), (3, 7), (3, 7)), 0), Orbit 0	234	274
 (((2, 5), (3, 6), (4, 6)), 0), Orbit 0	214	270
 (((2, 5), (3, 6), (4, 6)), 1), Orbit 1	215	270
 (((2, 5), (3, 6), (4, 6)), 2), Orbit 2	216	270
 (((1, 4), (1, 5), (4, 5)), 0), Orbit 0	85	241
 (((1, 4), (1, 5), (4, 5)), 1), Orbit 1	86	241
 (((1, 4), (1, 5), (4, 5)), 2), Orbit 2	87	241
 (((2, 3), (2, 5), (3, 4)), 0), Orbit 0	211	239
 (((2, 3), (2, 5), (3, 4)), 1), Orbit 1	212	239
 (((2, 3), (2, 5), (3, 4)), 2), Orbit 2	213	239
 (((2, 6), (3, 4), (5, 6)), 0), Orbit 0	223	207
 (((2, 6), (3, 4), (5, 6)), 1), Orbit 1	224	207
 (((2, 6), (3, 4), (5, 6)), 2), Orbit 2	225	207
 (((6, 6), (6, 7), (6, 7)), 0), Orbit 0	242	201
 (((4, 4), (5, 6), (5, 6)), 1), Orbit 1	152	200
 (((1, 6), (1, 6), (6, 6)), 1), Orbit 1	201	199
 (((4, 6), (5, 6), (6, 6)), 0), Orbit 0	226	199
 (((4, 6), (5, 6), (6, 6)), 1), Orbit 1	227	199
 (((4, 6), (5, 6), (6, 6)), 2), Orbit 2	228	199
 (((1, 1), (1, 7), (1, 7)), 0), Orbit 0	92	178
 (((4, 7), (5, 6), (6, 7)), 0), Orbit 0	161	126
 (((4, 7), (5, 6), (6, 7)), 1), Orbit 1	162	126
 (((4, 7), (5, 6), (6, 7)), 2), Orbit 2	163	126
 (((4, 4), (5, 6), (5, 6)), 0), Orbit 0	151	100
 (((1, 6), (1, 7), (6, 7)), 0), Orbit 0	155	94
 (((1, 6), (1, 7), (6, 7)), 1), Orbit 1	156	94
 (((1, 6), (1, 7), (6, 7)), 2), Orbit 2	157	94
 (((1, 4), (1, 6), (5, 6)), 0), Orbit 0	142	91
 (((1, 4), (1, 6), (5, 6)), 1), Orbit 1	143	91
 (((1, 4), (1, 6), (5, 6)), 2), Orbit 2	144	91
 (((6, 7), (6, 7), (7, 7)), 0), Orbit 0	164	62
 (((0, 7), (0, 7), (7, 7)), 0), Orbit 0	24	44
 (((2, 5), (3, 7), (4, 7)), 0), Orbit 0	172	40
 (((2, 5), (3, 7), (4, 7)), 1), Orbit 1	173	40
 (((2, 5), (3, 7), (4, 7)), 2), Orbit 2	174	40
 (((1, 2), (1, 7), (3, 7)), 0), Orbit 0	169	39
 (((1, 2), (1, 7), (3, 7)), 1), Orbit 1	170	39
 (((1, 2), (1, 7), (3, 7)), 2), Orbit 2	171	39
 (((1, 7), (1, 7), (7, 7)), 0), Orbit 0	100	36
 (((2, 7), (3, 7), (7, 7)), 0), Orbit 0	184	33
 (((2, 7), (3, 7), (7, 7)), 1), Orbit 1	185	33
 (((2, 7), (3, 7), (7, 7)), 2), Orbit 2	186	33
 (((6, 7), (6, 7), (7, 7)), 1), Orbit 1	165	31
 (((2, 4), (3, 7), (5, 7)), 0), Orbit 0	181	29
 (((2, 4), (3, 7), (5, 7)), 1), Orbit 1	182	29
 (((2, 4), (3, 7), (5, 7)), 2), Orbit 2	183	29
 (((0, 4), (0, 7), (5, 7)), 0), Orbit 0	21	25
 (((0, 4), (0, 7), (5, 7)), 1), Orbit 1	22	25
 (((0, 4), (0, 7), (5, 7)), 2), Orbit 2	23	25
 (((4, 6), (5, 7), (6, 7)), 0), Orbit 0	158	24
 (((4, 6), (5, 7), (6, 7)), 1), Orbit 1	159	24
 (((4, 6), (5, 7), (6, 7)), 2), Orbit 2	160	24
 (((4, 5), (4, 6), (5, 6)), 0), Orbit 0	148	23
 (((4, 5), (4, 6), (5, 6)), 1), Orbit 1	149	23
 (((4, 5), (4, 6), (5, 6)), 2), Orbit 2	150	23
 (((0, 7), (0, 7), (7, 7)), 1), Orbit 1	25	22
 (((4, 4), (5, 7), (5, 7)), 1), Orbit 1	103	22
 (((4, 7), (5, 7), (7, 7)), 0), Orbit 0	109	20
 (((4, 7), (5, 7), (7, 7)), 1), Orbit 1	110	20
 (((4, 7), (5, 7), (7, 7)), 2), Orbit 2	111	20
 (((1, 7), (1, 7), (7, 7)), 1), Orbit 1	101	18
 (((2, 7), (3, 4), (5, 7)), 0), Orbit 0	175	15
 (((2, 7), (3, 4), (5, 7)), 1), Orbit 1	176	15
 (((2, 7), (3, 4), (5, 7)), 2), Orbit 2	177	15
 (((1, 4), (1, 7), (5, 7)), 0), Orbit 0	97	11
 (((1, 4), (1, 7), (5, 7)), 1), Orbit 1	98	11
 (((1, 4), (1, 7), (5, 7)), 2), Orbit 2	99	11
 (((4, 4), (5, 7), (5, 7)), 0), Orbit 0	102	11
 (((2, 5), (3, 4), (4, 5)), 0), Orbit 0	128	7
 (((2, 5), (3, 4), (4, 5)), 1), Orbit 1	129	7
 (((2, 5), (3, 4), (4, 5)), 2), Orbit 2	130	7
 (((7, 7), (7, 7), (7, 7)), 0), Orbit 0	112	6
 (((4, 5), (4, 7), (5, 7)), 0), Orbit 0	106	4
 (((4, 5), (4, 7), (5, 7)), 1), Orbit 1	107	4
 (((4, 5), (4, 7), (5, 7)), 2), Orbit 2	108	4
 (((4, 5), (4, 5), (4, 5)), 0), Orbit 0	88	3
