orbit	id	count
 (((2, 3), (2, 7), (3, 7)), 2), Orbit 2	233	335
 (((4, 4), (5, 7), (5, 7)), 1), Orbit 1	103	324
 (((2, 4), (3, 6), (5, 6)), 0), Orbit 0	220	311
 (((2, 4), (3, 6), (5, 6)), 1), Orbit 1	221	311
 (((2, 4), (3, 6), (5, 6)), 2), Orbit 2	222	311
 (((2, 7), (3, 6), (6, 7)), 0), Orbit 0	236	310
 (((2, 7), (3, 6), (6, 7)), 1), Orbit 1	237	310
 (((2, 7), (3, 6), (6, 7)), 2), Orbit 2	238	310
 (((1, 7), (1, 7), (7, 7)), 0), Orbit 0	100	294
 (((2, 6), (3, 7), (6, 7)), 0), Orbit 0	239	289
 (((2, 6), (3, 7), (6, 7)), 1), Orbit 1	240	289
 (((2, 6), (3, 7), (6, 7)), 2), Orbit 2	241	289
 (((6, 6), (6, 7), (6, 7)), 1), Orbit 1	243	272
 (((7, 7), (7, 7), (7, 7)), 0), Orbit 0	112	267
 (((1, 6), (1, 6), (6, 6)), 0), Orbit 0	200	258
 (((1, 5), (1, 5), (4, 4)), 1), Orbit 1	84	252
 (((2, 4), (3, 7), (5, 7)), 0), Orbit 0	181	244
 (((2, 4), (3, 7), (5, 7)), 1), Orbit 1	182	244
 (((2, 4), (3, 7), (5, 7)), 2), Orbit 2	183	244
 (((2, 4), (3, 5), (4, 5)), 0), Orbit 0	137	239
 (((2, 4), (3, 5), (4, 5)), 1), Orbit 1	138	239
 (((2, 4), (3, 5), (4, 5)), 2), Orbit 2	139	239
 (((4, 4), (4, 5), (5, 5)), 0), Orbit 0	89	231
 (((4, 4), (4, 5), (5, 5)), 1), Orbit 1	90	231
 (((4, 4), (4, 5), (5, 5)), 2), Orbit 2	91	231
 (((2, 7), (3, 5), (4, 7)), 0), Orbit 0	178	231
 (((2, 7), (3, 5), (4, 7)), 1), Orbit 1	179	231
 (((2, 7), (3, 5), (4, 7)), 2), Orbit 2	180	231
 (((4, 7), (5, 7), (7, 7)), 0), Orbit 0	109	207
 (((4, 7), (5, 7), (7, 7)), 1), Orbit 1	110	207
 (((4, 7), (5, 7), (7, 7)), 2), Orbit 2	111	207
 (((2, 5), (3, 5), (4, 4)), 0), Orbit 0	131	204
 (((2, 5), (3, 5), (4, 4)), 1), Orbit 1	132	204
 (((2, 5), (3, 5), (4, 4)), 2), Orbit 2	133	204
 (((4, 7), (4, 7), (5, 5)), 0), Orbit 0	104	200
 (((6, 6), (6, 6), (6, 6)), 0), Orbit 0	258	198
 (((2, 7), (3, 7), (7, 7)), 0), Orbit 0	184	190
 (((2, 7), (3, 7), (7, 7)), 1), Orbit 1	185	190
 (((2, 7), (3, 7), (7, 7)), 2), Orbit 2	186	190
 (((2, 6), (3, 5), (4, 6)), 0), Orbit 0	217	190
 (((2, 6), (3, 5), (4, 6)), 1), Orbit 1	218	190
 (((2, 6), (3, 5), (4, 6)), 2), Orbit 2	219	190
 (((2, 3), (2, 5), (3, 4)), 0), Orbit 0	211	187
 (((2, 3), (2, 5), (3, 4)), 1), Orbit 1	212	187
 (((2, 3), (2, 5), (3, 4)), 2), Orbit 2	213	187
 (((1, 6), (1, 7), (6, 7)), 0), Orbit 0	155	185
 (((1, 6), (1, 7), (6, 7)), 1), Orbit 1	156	185
 (((1, 6), (1, 7), (6, 7)), 2), Orbit 2	157	185
 (((2, 4), (3, 4), (5, 5)), 0), Orbit 0	134	177
 (((2, 4), (3, 4), (5, 5)), 1), Orbit 1	135	177
 (((2, 4), (3, 4), (5, 5)), 2), Orbit 2	136	177
 (((4, 4), (5, 7), (5, 7)), 0), Orbit 0	102	162
 (((1, 5), (1, 6), (4, 6)), 0), Orbit 0	145	160
 (((1, 5), (1, 6), (4, 6)), 1), Orbit 1	146	160
 (((1, 5), (1, 6), (4, 6)), 2), Orbit 2	147	160
 (((1, 7), (1, 7), (7, 7)), 1), Orbit 1	101	147
 (((2, 5), (3, 6), (4, 6)), 0), Orbit 0	214	143
 (((2, 5), (3, 6), (4, 6)), 1), Orbit 1	215	143
 (((2, 5), (3, 6), (4, 6)), 2), Orbit 2	216	143
 (((2, 6), (3, 4), (5, 6)), 0), Orbit 0	223	137
 (((2, 6), (3, 4), (5, 6)), 1), Orbit 1	224	137
 (((2, 6), (3, 4), (5, 6)), 2), Orbit 2	225	137
 (((6, 6), (6, 7), (6, 7)), 0), Orbit 0	242	136
 (((1, 6), (1, 6), (6, 6)), 1), Orbit 1	201	129
 (((4, 6), (5, 6), (6, 6)), 0), Orbit 0	226	120
 (((4, 6), (5, 6), (6, 6)), 1), Orbit 1	227	120
 (((4, 6), (5, 6), (6, 6)), 2), Orbit 2	228	120
 (((4, 5), (4, 7), (5, 7)), 0), Orbit 0	106	115
 (((4, 5), (4, 7), (5, 7)), 1), Orbit 1	107	115
 (((4, 5), (4, 7), (5, 7)), 2), Orbit 2	108	115
 (((6, 7), (6, 7), (7, 7)), 0), Orbit 0	164	108
 (((4, 7), (4, 7), (5, 5)), 1), Orbit 1	105	100
 (((2, 5), (3, 7), (4, 7)), 0), Orbit 0	172	90
 (((2, 5), (3, 7), (4, 7)), 1), Orbit 1	173	90
 (((2, 5), (3, 7), (4, 7)), 2), Orbit 2	174	90
 (((4, 4), (5, 6), (5, 6)), 1), Orbit 1	152	88
 (((4, 7), (5, 6), (6, 7)), 0), Orbit 0	161	85
 (((4, 7), (5, 6), (6, 7)), 1), Orbit 1	162	85
 (((4, 7), (5, 6), (6, 7)), 2), Orbit 2	163	85
 (((2, 7), (3, 4), (5, 7)), 0), Orbit 0	175	83
 (((2, 7), (3, 4), (5, 7)), 1), Orbit 1	176	83
 (((2, 7), (3, 4), (5, 7)), 2), Orbit 2	177	83
 (((4, 6), (5, 7), (6, 7)), 0), Orbit 0	158	69
 (((4, 6), (5, 7), (6, 7)), 1), Orbit 1	159	69
 (((4, 6), (5, 7), (6, 7)), 2), Orbit 2	160	69
 (((6, 7), (6, 7), (7, 7)), 1), Orbit 1	165	54
 (((4, 5), (4, 5), (4, 5)), 0), Orbit 0	88	48
 (((4, 4), (5, 6), (5, 6)), 0), Orbit 0	151	44
 (((2, 5), (3, 4), (4, 5)), 0), Orbit 0	128	43
 (((2, 5), (3, 4), (4, 5)), 1), Orbit 1	129	43
 (((2, 5), (3, 4), (4, 5)), 2), Orbit 2	130	43
 (((4, 5), (4, 6), (5, 6)), 0), Orbit 0	148	42
 (((4, 5), (4, 6), (5, 6)), 1), Orbit 1	149	42
 (((4, 5), (4, 6), (5, 6)), 2), Orbit 2	150	42
 (((4, 6), (4, 6), (5, 5)), 0), Orbit 0	153	30
 (((4, 6), (4, 6), (5, 5)), 1), Orbit 1	154	15
