orbit	id	count
(((2, 6), (3, 7), (6, 7)), 0), Orbit 0	239	1
(((2, 6), (3, 7), (6, 7)), 1), Orbit 1	240	1
(((2, 6), (3, 7), (6, 7)), 2), Orbit 2	241	1
(((2, 6), (3, 6), (6, 6)), 0), Orbit 0	255	1
(((2, 6), (3, 6), (6, 6)), 1), Orbit 1	256	1
(((2, 6), (3, 6), (6, 6)), 2), Orbit 2	257	1
(((0, 4), (0, 7), (5, 7)), 0), Orbit 0	21	0
(((0, 4), (0, 7), (5, 7)), 1), Orbit 1	22	0
(((0, 4), (0, 7), (5, 7)), 2), Orbit 2	23	0
(((0, 7), (0, 7), (7, 7)), 0), Orbit 0	24	0
(((0, 7), (0, 7), (7, 7)), 1), Orbit 1	25	0
(((0, 4), (0, 6), (5, 6)), 0), Orbit 0	47	0
(((0, 4), (0, 6), (5, 6)), 1), Orbit 1	48	0
(((0, 4), (0, 6), (5, 6)), 2), Orbit 2	49	0
(((0, 2), (0, 7), (3, 7)), 0), Orbit 0	56	0
(((0, 2), (0, 7), (3, 7)), 1), Orbit 1	57	0
(((0, 2), (0, 7), (3, 7)), 2), Orbit 2	58	0
(((0, 6), (0, 7), (6, 7)), 0), Orbit 0	59	0
(((0, 6), (0, 7), (6, 7)), 1), Orbit 1	60	0
(((0, 6), (0, 7), (6, 7)), 2), Orbit 2	61	0
(((1, 4), (1, 4), (5, 5)), 0), Orbit 0	81	0
(((1, 4), (1, 4), (5, 5)), 1), Orbit 1	82	0
(((4, 5), (4, 5), (4, 5)), 0), Orbit 0	88	0
(((1, 5), (1, 7), (4, 7)), 0), Orbit 0	94	0
(((1, 5), (1, 7), (4, 7)), 1), Orbit 1	95	0
(((1, 5), (1, 7), (4, 7)), 2), Orbit 2	96	0
(((1, 4), (1, 7), (5, 7)), 0), Orbit 0	97	0
(((1, 4), (1, 7), (5, 7)), 1), Orbit 1	98	0
(((1, 4), (1, 7), (5, 7)), 2), Orbit 2	99	0
(((1, 7), (1, 7), (7, 7)), 0), Orbit 0	100	0
(((1, 7), (1, 7), (7, 7)), 1), Orbit 1	101	0
(((4, 4), (5, 7), (5, 7)), 0), Orbit 0	102	0
(((4, 4), (5, 7), (5, 7)), 1), Orbit 1	103	0
(((4, 7), (4, 7), (5, 5)), 0), Orbit 0	104	0
(((4, 7), (4, 7), (5, 5)), 1), Orbit 1	105	0
(((4, 5), (4, 7), (5, 7)), 0), Orbit 0	106	0
(((4, 5), (4, 7), (5, 7)), 1), Orbit 1	107	0
(((4, 5), (4, 7), (5, 7)), 2), Orbit 2	108	0
(((4, 7), (5, 7), (7, 7)), 0), Orbit 0	109	0
(((4, 7), (5, 7), (7, 7)), 1), Orbit 1	110	0
(((4, 7), (5, 7), (7, 7)), 2), Orbit 2	111	0
(((7, 7), (7, 7), (7, 7)), 0), Orbit 0	112	0
(((1, 3), (1, 4), (2, 5)), 0), Orbit 0	122	0
(((1, 3), (1, 4), (2, 5)), 1), Orbit 1	123	0
(((1, 3), (1, 4), (2, 5)), 2), Orbit 2	124	0
(((2, 5), (3, 4), (4, 5)), 0), Orbit 0	128	0
(((2, 5), (3, 4), (4, 5)), 1), Orbit 1	129	0
(((2, 5), (3, 4), (4, 5)), 2), Orbit 2	130	0
(((2, 5), (3, 5), (4, 4)), 0), Orbit 0	131	0
(((2, 5), (3, 5), (4, 4)), 1), Orbit 1	132	0
(((2, 5), (3, 5), (4, 4)), 2), Orbit 2	133	0
(((1, 4), (1, 6), (5, 6)), 0), Orbit 0	142	0
(((1, 4), (1, 6), (5, 6)), 1), Orbit 1	143	0
(((1, 4), (1, 6), (5, 6)), 2), Orbit 2	144	0
(((4, 5), (4, 6), (5, 6)), 0), Orbit 0	148	0
(((4, 5), (4, 6), (5, 6)), 1), Orbit 1	149	0
(((4, 5), (4, 6), (5, 6)), 2), Orbit 2	150	0
(((4, 4), (5, 6), (5, 6)), 0), Orbit 0	151	0
(((4, 4), (5, 6), (5, 6)), 1), Orbit 1	152	0
(((1, 6), (1, 7), (6, 7)), 0), Orbit 0	155	0
(((1, 6), (1, 7), (6, 7)), 1), Orbit 1	156	0
(((1, 6), (1, 7), (6, 7)), 2), Orbit 2	157	0
(((4, 6), (5, 7), (6, 7)), 0), Orbit 0	158	0
(((4, 6), (5, 7), (6, 7)), 1), Orbit 1	159	0
(((4, 6), (5, 7), (6, 7)), 2), Orbit 2	160	0
(((4, 7), (5, 6), (6, 7)), 0), Orbit 0	161	0
(((4, 7), (5, 6), (6, 7)), 1), Orbit 1	162	0
(((4, 7), (5, 6), (6, 7)), 2), Orbit 2	163	0
