orbit	id	count
 (((4, 6), (4, 6), (5, 5)), 0), Orbit 0	153	228
 (((1, 1), (1, 6), (1, 6)), 1), Orbit 1	141	200
 (((0, 5), (0, 7), (4, 7)), 0), Orbit 0	18	176
 (((0, 5), (0, 7), (4, 7)), 1), Orbit 1	19	176
 (((0, 5), (0, 7), (4, 7)), 2), Orbit 2	20	176
 (((2, 2), (3, 7), (3, 7)), 0), Orbit 0	234	161
 (((2, 5), (3, 5), (4, 4)), 0), Orbit 0	131	155
 (((2, 5), (3, 5), (4, 4)), 1), Orbit 1	132	155
 (((2, 5), (3, 5), (4, 4)), 2), Orbit 2	133	155
 (((6, 6), (6, 7), (6, 7)), 1), Orbit 1	243	152
 (((2, 4), (3, 6), (5, 6)), 0), Orbit 0	220	144
 (((2, 4), (3, 6), (5, 6)), 1), Orbit 1	221	144
 (((2, 4), (3, 6), (5, 6)), 2), Orbit 2	222	144
 (((2, 7), (3, 6), (6, 7)), 0), Orbit 0	236	137
 (((2, 7), (3, 6), (6, 7)), 1), Orbit 1	237	137
 (((2, 7), (3, 6), (6, 7)), 2), Orbit 2	238	137
 (((2, 4), (3, 5), (4, 5)), 0), Orbit 0	137	133
 (((2, 4), (3, 5), (4, 5)), 1), Orbit 1	138	133
 (((2, 4), (3, 5), (4, 5)), 2), Orbit 2	139	133
 (((0, 4), (0, 6), (5, 6)), 0), Orbit 0	47	115
 (((0, 4), (0, 6), (5, 6)), 1), Orbit 1	48	115
 (((0, 4), (0, 6), (5, 6)), 2), Orbit 2	49	115
 (((4, 6), (4, 6), (5, 5)), 1), Orbit 1	154	114
 (((1, 2), (1, 6), (3, 6)), 0), Orbit 0	194	108
 (((1, 2), (1, 6), (3, 6)), 1), Orbit 1	195	108
 (((1, 2), (1, 6), (3, 6)), 2), Orbit 2	196	108
 (((2, 6), (3, 7), (6, 7)), 0), Orbit 0	239	107
 (((2, 6), (3, 7), (6, 7)), 1), Orbit 1	240	107
 (((2, 6), (3, 7), (6, 7)), 2), Orbit 2	241	107
 (((2, 4), (3, 4), (5, 5)), 0), Orbit 0	134	100
 (((2, 4), (3, 4), (5, 5)), 1), Orbit 1	135	100
 (((2, 4), (3, 4), (5, 5)), 2), Orbit 2	136	100
 (((1, 1), (1, 6), (1, 6)), 0), Orbit 0	140	100
 (((1, 5), (1, 6), (4, 6)), 0), Orbit 0	145	99
 (((1, 5), (1, 6), (4, 6)), 1), Orbit 1	146	99
 (((1, 5), (1, 6), (4, 6)), 2), Orbit 2	147	99
 (((2, 3), (2, 7), (3, 7)), 0), Orbit 0	231	82
 (((2, 3), (2, 7), (3, 7)), 1), Orbit 1	232	82
 (((2, 3), (2, 7), (3, 7)), 2), Orbit 2	233	82
 (((6, 6), (6, 7), (6, 7)), 0), Orbit 0	242	76
 (((1, 2), (1, 4), (3, 5)), 0), Orbit 0	116	75
 (((1, 2), (1, 4), (3, 5)), 1), Orbit 1	117	75
 (((1, 2), (1, 4), (3, 5)), 2), Orbit 2	118	75
 (((1, 2), (1, 5), (3, 4)), 0), Orbit 0	119	72
 (((1, 2), (1, 5), (3, 4)), 1), Orbit 1	120	72
 (((1, 2), (1, 5), (3, 4)), 2), Orbit 2	121	72
 (((2, 5), (3, 6), (4, 6)), 0), Orbit 0	214	64
 (((2, 5), (3, 6), (4, 6)), 1), Orbit 1	215	64
 (((2, 5), (3, 6), (4, 6)), 2), Orbit 2	216	64
 (((0, 6), (0, 7), (6, 7)), 0), Orbit 0	59	63
 (((0, 6), (0, 7), (6, 7)), 1), Orbit 1	60	63
 (((0, 6), (0, 7), (6, 7)), 2), Orbit 2	61	63
 (((0, 4), (0, 4), (5, 5)), 0), Orbit 0	8	58
 (((4, 6), (5, 6), (6, 6)), 0), Orbit 0	226	51
 (((4, 6), (5, 6), (6, 6)), 1), Orbit 1	227	51
 (((4, 6), (5, 6), (6, 6)), 2), Orbit 2	228	51
 (((1, 6), (1, 6), (6, 6)), 0), Orbit 0	200	48
 (((0, 4), (0, 5), (4, 5)), 0), Orbit 0	12	39
 (((0, 4), (0, 5), (4, 5)), 1), Orbit 1	13	39
 (((0, 4), (0, 5), (4, 5)), 2), Orbit 2	14	39
 (((1, 1), (1, 7), (1, 7)), 1), Orbit 1	93	36
 (((1, 3), (1, 4), (2, 5)), 0), Orbit 0	122	31
 (((1, 3), (1, 4), (2, 5)), 1), Orbit 1	123	31
 (((1, 3), (1, 4), (2, 5)), 2), Orbit 2	124	31
 (((0, 4), (0, 4), (5, 5)), 1), Orbit 1	9	29
 (((1, 6), (1, 6), (6, 6)), 1), Orbit 1	201	24
 (((2, 6), (3, 4), (5, 6)), 0), Orbit 0	223	21
 (((2, 6), (3, 4), (5, 6)), 1), Orbit 1	224	21
 (((2, 6), (3, 4), (5, 6)), 2), Orbit 2	225	21
 (((4, 4), (4, 5), (5, 5)), 0), Orbit 0	89	18
 (((4, 4), (4, 5), (5, 5)), 1), Orbit 1	90	18
 (((4, 4), (4, 5), (5, 5)), 2), Orbit 2	91	18
 (((1, 1), (1, 7), (1, 7)), 0), Orbit 0	92	18
 (((2, 3), (2, 5), (3, 4)), 0), Orbit 0	211	17
 (((2, 3), (2, 5), (3, 4)), 1), Orbit 1	212	17
 (((2, 3), (2, 5), (3, 4)), 2), Orbit 2	213	17
 (((4, 7), (4, 7), (5, 5)), 0), Orbit 0	104	16
 (((1, 5), (1, 7), (4, 7)), 0), Orbit 0	94	14
 (((1, 5), (1, 7), (4, 7)), 1), Orbit 1	95	14
 (((1, 5), (1, 7), (4, 7)), 2), Orbit 2	96	14
 (((1, 4), (1, 5), (4, 5)), 0), Orbit 0	85	12
 (((1, 4), (1, 5), (4, 5)), 1), Orbit 1	86	12
 (((1, 4), (1, 5), (4, 5)), 2), Orbit 2	87	12
 (((6, 7), (6, 7), (7, 7)), 0), Orbit 0	164	12
 (((1, 4), (1, 4), (5, 5)), 0), Orbit 0	81	10
 (((4, 6), (5, 7), (6, 7)), 0), Orbit 0	158	9
 (((4, 6), (5, 7), (6, 7)), 1), Orbit 1	159	9
 (((4, 6), (5, 7), (6, 7)), 2), Orbit 2	160	9
 (((2, 5), (3, 7), (4, 7)), 0), Orbit 0	172	9
 (((2, 5), (3, 7), (4, 7)), 1), Orbit 1	173	9
